word,count,frequency
creature,14,0.0012379520735697233
reincarnating,14,0.0012379520735697233
living,13,0.0011495269254576002
population,13,0.0011495269254576002
habitat,13,0.0011495269254576002
kill,13,0.0011495269254576002
day,13,0.0011495269254576002
hard,13,0.0011495269254576002
frozen,13,0.0011495269254576002
ivory,13,0.0011495269254576002
put,13,0.0011495269254576002
real,13,0.0011495269254576002
thought,13,0.0011495269254576002
god,13,0.0011495269254576002
bad,13,0.0011495269254576002
environment,13,0.0011495269254576002
planet,13,0.0011495269254576002
yes,12,0.001061101777345477
baby,12,0.001061101777345477
period,12,0.001061101777345477
play,12,0.001061101777345477
survive,12,0.001061101777345477
reason,12,0.001061101777345477
end,12,0.001061101777345477
since,12,0.001061101777345477
ill,12,0.001061101777345477
got,12,0.001061101777345477
another,12,0.001061101777345477
seen,12,0.001061101777345477
away,12,0.001061101777345477
shit,12,0.001061101777345477
better,12,0.001061101777345477
cool,12,0.001061101777345477
news,12,0.001061101777345477
theyll,12,0.001061101777345477
live,12,0.001061101777345477
type,12,0.001061101777345477
story,12,0.001061101777345477
embryo,12,0.001061101777345477
deextinction,12,0.001061101777345477
watch,12,0.001061101777345477
finally,12,0.001061101777345477
tree,12,0.001061101777345477
fucking,12,0.001061101777345477
whether,12,0.001061101777345477
egg,11,0.000972676629233354
maybe,11,0.000972676629233354
id,11,0.000972676629233354
wont,11,0.000972676629233354
able,11,0.000972676629233354
3,11,0.000972676629233354
ever,11,0.000972676629233354
million,11,0.000972676629233354
making,11,0.000972676629233354
part,11,0.000972676629233354
editing,11,0.000972676629233354
heard,11,0.000972676629233354
similar,10,0.0008842514811212309
earth,10,0.0008842514811212309
there,10,0.0008842514811212309
found,10,0.0008842514811212309
tusk,10,0.0008842514811212309
giant,10,0.0008842514811212309
sound,10,0.0008842514811212309
used,10,0.0008842514811212309
money,10,0.0008842514811212309
issue,10,0.0008842514811212309
brought,10,0.0008842514811212309
trying,10,0.0008842514811212309
reviving,10,0.0008842514811212309
anyone,10,0.0008842514811212309
imagine,10,0.0008842514811212309
room,10,0.0008842514811212309
give,10,0.0008842514811212309
north,10,0.0008842514811212309
zoo,10,0.0008842514811212309
different,10,0.0008842514811212309
anything,10,0.0008842514811212309
release,10,0.0008842514811212309
working,10,0.0008842514811212309
raptor,10,0.0008842514811212309
decade,10,0.0008842514811212309
forest,10,0.0008842514811212309
please,10,0.0008842514811212309
start,9,0.0007958263330091078
