project,article,granularity,timestamp,access,agent,views
en.wikipedia,Hertha_Ayrton,monthly,2022-11-01,all-access,all-agents,1595
en.wikipedia,Hertha_Ayrton,monthly,2022-12-01,all-access,all-agents,1355
en.wikipedia,Alice_Blanche_Balfour,monthly,2020-01-01,all-access,all-agents,161
en.wikipedia,Alice_Blanche_Balfour,monthly,2020-02-01,all-access,all-agents,114
en.wikipedia,Alice_Blanche_Balfour,monthly,2020-03-01,all-access,all-agents,93
en.wikipedia,Alice_Blanche_Balfour,monthly,2020-04-01,all-access,all-agents,136
en.wikipedia,Alice_Blanche_Balfour,monthly,2020-05-01,all-access,all-agents,119
en.wikipedia,Alice_Blanche_Balfour,monthly,2020-06-01,all-access,all-agents,117
en.wikipedia,Alice_Blanche_Balfour,monthly,2020-07-01,all-access,all-agents,111
en.wikipedia,Alice_Blanche_Balfour,monthly,2020-08-01,all-access,all-agents,104
en.wikipedia,Alice_Blanche_Balfour,monthly,2020-09-01,all-access,all-agents,201
en.wikipedia,Alice_Blanche_Balfour,monthly,2020-10-01,all-access,all-agents,185
en.wikipedia,Alice_Blanche_Balfour,monthly,2020-11-01,all-access,all-agents,114
en.wikipedia,Alice_Blanche_Balfour,monthly,2020-12-01,all-access,all-agents,137
en.wikipedia,Alice_Blanche_Balfour,monthly,2021-01-01,all-access,all-agents,146
en.wikipedia,Alice_Blanche_Balfour,monthly,2021-02-01,all-access,all-agents,91
en.wikipedia,Alice_Blanche_Balfour,monthly,2021-03-01,all-access,all-agents,145
en.wikipedia,Alice_Blanche_Balfour,monthly,2021-04-01,all-access,all-agents,139
en.wikipedia,Alice_Blanche_Balfour,monthly,2021-05-01,all-access,all-agents,172
en.wikipedia,Alice_Blanche_Balfour,monthly,2021-06-01,all-access,all-agents,133
en.wikipedia,Alice_Blanche_Balfour,monthly,2021-07-01,all-access,all-agents,140
en.wikipedia,Alice_Blanche_Balfour,monthly,2021-08-01,all-access,all-agents,109
en.wikipedia,Alice_Blanche_Balfour,monthly,2021-09-01,all-access,all-agents,134
en.wikipedia,Alice_Blanche_Balfour,monthly,2021-10-01,all-access,all-agents,149
en.wikipedia,Alice_Blanche_Balfour,monthly,2021-11-01,all-access,all-agents,116
en.wikipedia,Alice_Blanche_Balfour,monthly,2021-12-01,all-access,all-agents,119
en.wikipedia,Alice_Blanche_Balfour,monthly,2022-01-01,all-access,all-agents,149
en.wikipedia,Alice_Blanche_Balfour,monthly,2022-02-01,all-access,all-agents,160
en.wikipedia,Alice_Blanche_Balfour,monthly,2022-03-01,all-access,all-agents,179
en.wikipedia,Alice_Blanche_Balfour,monthly,2022-04-01,all-access,all-agents,149
en.wikipedia,Alice_Blanche_Balfour,monthly,2022-05-01,all-access,all-agents,182
en.wikipedia,Alice_Blanche_Balfour,monthly,2022-06-01,all-access,all-agents,134
en.wikipedia,Alice_Blanche_Balfour,monthly,2022-07-01,all-access,all-agents,163
en.wikipedia,Alice_Blanche_Balfour,monthly,2022-08-01,all-access,all-agents,154
en.wikipedia,Alice_Blanche_Balfour,monthly,2022-09-01,all-access,all-agents,141
en.wikipedia,Alice_Blanche_Balfour,monthly,2022-10-01,all-access,all-agents,287
en.wikipedia,Alice_Blanche_Balfour,monthly,2022-11-01,all-access,all-agents,198
en.wikipedia,Alice_Blanche_Balfour,monthly,2022-12-01,all-access,all-agents,152
en.wikipedia,Sarah_Sophia_Banks,monthly,2020-01-01,all-access,all-agents,768
en.wikipedia,Sarah_Sophia_Banks,monthly,2020-02-01,all-access,all-agents,684
en.wikipedia,Sarah_Sophia_Banks,monthly,2020-03-01,all-access,all-agents,583
en.wikipedia,Sarah_Sophia_Banks,monthly,2020-04-01,all-access,all-agents,879
en.wikipedia,Sarah_Sophia_Banks,monthly,2020-05-01,all-access,all-agents,617
en.wikipedia,Sarah_Sophia_Banks,monthly,2020-06-01,all-access,all-agents,489
en.wikipedia,Sarah_Sophia_Banks,monthly,2020-07-01,all-access,all-agents,463
en.wikipedia,Sarah_Sophia_Banks,monthly,2020-08-01,all-access,all-agents,454
en.wikipedia,Sarah_Sophia_Banks,monthly,2020-09-01,all-access,all-agents,635
en.wikipedia,Sarah_Sophia_Banks,monthly,2020-10-01,all-access,all-agents,494
en.wikipedia,Sarah_Sophia_Banks,monthly,2020-11-01,all-access,all-agents,414
en.wikipedia,Sarah_Sophia_Banks,monthly,2020-12-01,all-access,all-agents,419
en.wikipedia,Sarah_Sophia_Banks,monthly,2021-01-01,all-access,all-agents,532
en.wikipedia,Sarah_Sophia_Banks,monthly,2021-02-01,all-access,all-agents,453
en.wikipedia,Sarah_Sophia_Banks,monthly,2021-03-01,all-access,all-agents,469
en.wikipedia,Sarah_Sophia_Banks,monthly,2021-04-01,all-access,all-agents,355
en.wikipedia,Sarah_Sophia_Banks,monthly,2021-05-01,all-access,all-agents,354
en.wikipedia,Sarah_Sophia_Banks,monthly,2021-06-01,all-access,all-agents,344
en.wikipedia,Sarah_Sophia_Banks,monthly,2021-07-01,all-access,all-agents,312
en.wikipedia,Sarah_Sophia_Banks,monthly,2021-08-01,all-access,all-agents,328
en.wikipedia,Sarah_Sophia_Banks,monthly,2021-09-01,all-access,all-agents,683
en.wikipedia,Sarah_Sophia_Banks,monthly,2021-10-01,all-access,all-agents,492
en.wikipedia,Sarah_Sophia_Banks,monthly,2021-11-01,all-access,all-agents,249
en.wikipedia,Sarah_Sophia_Banks,monthly,2021-12-01,all-access,all-agents,262
en.wikipedia,Sarah_Sophia_Banks,monthly,2022-01-01,all-access,all-agents,327
en.wikipedia,Sarah_Sophia_Banks,monthly,2022-02-01,all-access,all-agents,293
en.wikipedia,Sarah_Sophia_Banks,monthly,2022-03-01,all-access,all-agents,243
en.wikipedia,Sarah_Sophia_Banks,monthly,2022-04-01,all-access,all-agents,260
en.wikipedia,Sarah_Sophia_Banks,monthly,2022-05-01,all-access,all-agents,400
en.wikipedia,Sarah_Sophia_Banks,monthly,2022-06-01,all-access,all-agents,340
en.wikipedia,Sarah_Sophia_Banks,monthly,2022-07-01,all-access,all-agents,378
en.wikipedia,Sarah_Sophia_Banks,monthly,2022-08-01,all-access,all-agents,391
en.wikipedia,Sarah_Sophia_Banks,monthly,2022-09-01,all-access,all-agents,330
en.wikipedia,Sarah_Sophia_Banks,monthly,2022-10-01,all-access,all-agents,349
en.wikipedia,Sarah_Sophia_Banks,monthly,2022-11-01,all-access,all-agents,322
en.wikipedia,Sarah_Sophia_Banks,monthly,2022-12-01,all-access,all-agents,257
